"","taxonID","trt.code.2","moisture","taxonomy","b.boot.median","d.boot.median"
"437","sip277","t72_18O","50","d_Bacteria;p_Verrucomicrobia;c_Spartobacteria;o_Spartobacteria_genera_incertae_sedis;f_Spartobacteria_genera_incertae_sedis;g_Spartobacteria_genera_incertae_sedis",68468.4427349296,0
"438","sip277","t168_18O","50","d_Bacteria;p_Verrucomicrobia;c_Spartobacteria;o_Spartobacteria_genera_incertae_sedis;f_Spartobacteria_genera_incertae_sedis;g_Spartobacteria_genera_incertae_sedis",166037.683262707,0
"439","sip277","t48_18O","50","d_Bacteria;p_Verrucomicrobia;c_Spartobacteria;o_Spartobacteria_genera_incertae_sedis;f_Spartobacteria_genera_incertae_sedis;g_Spartobacteria_genera_incertae_sedis",14466.4688494527,0
"440","sip2775","t24_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Skermanella",139296.784632514,0
"441","sip2775","t48_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Skermanella",0,0
"442","sip2775","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Skermanella",1554.19564186688,0
"443","sip2792","t24_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp7;o_Gp7;f_Gp7;g_Gp7",0,0
"444","sip2792","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp7;o_Gp7;f_Gp7;g_Gp7",0,-213262.635049212
"445","sip2792","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp7;o_Gp7;f_Gp7;g_Gp7",0,-235202.723967067
"446","sip28","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Nocardioidaceae;g_Nocardioides",6280.1186508283,0
"447","sip28","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Nocardioidaceae;g_Nocardioides",45967.5771768548,0
"448","sip2805","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",373105.003108647,0
"449","sip2805","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",158436.286612629,0
"450","sip2805","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",207783.622395494,0
"451","sip2805","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",151769.292576893,0
"452","sip2805","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",1982928.53392719,0
