taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip5403	T0.1	t0_16O	t3_16O	-1177233.29820248	-1255511.72436114	-1177233.29820248	-14884384.3262032	13629581.5236997	-19620.5549700414	-20925.195406019	-19620.5549700414	-248073.072103387	227159.692061661	4273896.49176263	4278620.36808072	4273896.49176263	2423044.63902486	6031235.57641551	4126742.32948732	4121681.40253557	4126742.32948732	3420955.0787607	4952945.77687033	none
sip5404	T0.1	t0_16O	t3_16O	-2039457.43113986	-2022159.69756529	-2039457.43113986	-8029880.25645068	3938124.44946189	-33990.9571856644	-33702.6616260881	-33990.9571856644	-133831.337607511	65635.4074910315	1105495.83064613	1103560.23065052	1105495.83064613	493875.567473278	1793389.00105063	850563.651753649	850790.268454856	850563.651753649	396103.078161882	1166195.36039172	none
sip5406	T0.1	t0_16O	t3_16O	-26101815.554937	-26137624.5848553	-26101815.554937	-42027236.9016596	-10734977.3556605	-435030.25924895	-435627.076414256	-435030.25924895	-700453.948360993	-178916.289261008	3707777.14917539	3710028.02689115	3707777.14917539	1786922.37426583	6143505.02232399	445050.20480827	442824.953784228	445050.20480827	0	890100.409616539	Warning: no occurrences in rep rA_t3_16O & rC_t3_16O (t3_16O)
sip5418	T0.1	t0_16O	t3_16O	-16416253.188425	-16414065.8248688	-16416253.188425	-43091484.4809805	10258978.1041306	-273604.219807082	-273567.763747814	-273604.219807082	-718191.408016342	170982.968402177	6262482.89660675	6248149.38165272	6262482.89660675	4164607.61021465	8509363.77360567	4210451.24805363	4196391.15354412	4210451.24805363	1745632.48794954	6096603.1051594	none
sip5422	T0.1	t0_16O	t3_16O	-24184444.7052628	-24095407.5689766	-24202557.0107463	-49732311.6315511	5403190.35552708	-403074.078421047	-401590.12614961	-403375.950179104	-828871.860525852	90053.172592118	8257167.4203859	8237257.80149606	8257167.4203859	4328160.43803967	10950207.8457301	5234111.83222805	5225331.85537399	5234111.83222805	3766814.3892623	6220246.06211728	none
sip5425	T0.1	t0_16O	t3_16O	-8560242.0795616	-8690691.90158387	-8796238.11044236	-26722979.0077646	14351914.6657756	-142670.701326027	-144844.865026398	-146603.968507373	-445382.983462744	239198.577762927	4757668.76664288	4767062.93592395	4757668.76664288	1893649.17347573	6995967.53742219	3687638.50669768	3680726.44822597	3687638.50669768	2610042.6997174	4257207.83474091	none
sip5426	T0.1	t0_16O	t3_16O	5672997.2064402	5657966.00664551	5672997.2064402	-6084921.1265502	17430915.5394306	94549.95344067	94299.4334440918	94549.95344067	-101415.35210917	290515.25899051	676760.959799896	684205.330357695	676760.959799896	0	2030282.87939969	1385885.61060492	1391451.08118838	1385885.61060492	592906.778781018	2378936.49547171	Warning: no occurrences in rep rB_t0_16O & rC_t0_16O (t0_16O) and rep rB_t3_16O (t3_16O)
sip5430	T0.1	t0_16O	t3_16O	-6387090.59318554	-6250169.4566546	-6387090.59318554	-26102403.8919403	13248364.0976996	-106451.509886426	-104169.490944243	-106451.509886426	-435040.064865672	220806.068294994	3958461.97961924	3951409.32890398	3958461.97961924	3167070.09104699	5511298.77881263	3160075.65547105	3170138.14682215	3160075.65547105	1477071.05571525	5049013.79926741	Warning: no occurrences in rep rB_t3_16O (t3_16O)
sip5432	T0.1	t0_16O	t3_16O	-17667007.1177678	-17650344.4162348	-17667007.1177678	-45674540.9686811	6238866.27902009	-294450.118629463	-294172.406937247	-294450.118629463	-761242.349478018	103981.104650335	5479916.41476528	5478461.59341779	5479916.41476528	3059735.04723394	9539000.36807849	3271540.52504431	3272168.54138844	3271540.52504431	2443061.45739401	4370356.43839586	none
sip5442	T0.1	t0_16O	t3_16O	-1810434.91594672	-1823025.39063678	-1810434.91594672	-3749650.18851804	128780.356624592	-30173.9152657787	-30383.756510613	-30173.9152657787	-62494.169808634	2146.33927707653	369497.890332615	370078.288824726	369497.890332615	139555.219551311	589317.73181662	143193.525839274	142200.114995129	143193.525839274	0	277443.214948934	Warning: no occurrences in rep rC_t3_16O (t3_16O)
sip5446	T0.1	t0_16O	t3_16O	5469277.55494642	5481450.36511284	5469277.55494642	2640978.51282558	8213283.94107325	91154.6259157737	91357.506085214	91154.6259157737	44016.3085470929	136888.065684554	284908.43353686	283493.682536696	284908.43353686	103354.959195919	554059.552688217	968568.127905163	968674.978175801	968568.127905163	686147.642023367	1166602.35267321	none
sip5451	T0.1	t0_16O	t3_16O	-21268798.411131	-21254859.8694764	-21268798.411131	-38460799.3497059	-6885799.13163793	-354479.97351885	-354247.664491273	-354479.97351885	-641013.322495098	-114763.318860632	5087857.55466717	5088512.03965228	5087857.55466717	3473626.04757235	7420255.64594185	2429257.7532758	2431654.55596774	2429257.7532758	1417411.63889734	3026879.79744144	none
