taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip5592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	22379.3571275643	19063.2345346975	22379.3571275643	-302737.08978758	350195.345418847	372.989285459404	317.720575578292	372.989285459404	-5045.61816312634	5836.58909031412	854974.656646333	862626.817164329	854974.656646333	164903.317088069	2070271.4737302	944492.08515659	938879.755303119	944492.08515659	312501.306045168	2176079.14686577	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	130061.001182196	128318.509903487	130061.001182196	-180945.546231151	443463.881494627	2167.6833530366	2138.64183172479	2167.6833530366	-3015.75910385252	7391.06469157712	793055.818134906	794372.24916448	793055.818134906	293701.41040147	1080565.61096606	1313299.82286369	1307646.28877843	1313299.82286369	22.8653622096242	2642576.52204229	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-278503.415686201	-280542.73092707	-278505.082952188	-511266.578610377	-924.129236276436	-4641.72359477001	-4675.71218211783	-4641.75138253646	-8521.10964350628	-15.4021539379406	1452961.83768914	1458068.81754983	1452961.83768914	342651.360953392	2119073.40168081	338948.174944338	335897.893841547	338948.174944338	22.8653622096242	1016778.78691675	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-327519.156937777	-327923.099917296	-327521.042941292	-470986.229323267	-147913.900513872	-5458.65261562962	-5465.38499862159	-5458.68404902154	-7849.77048872111	-2465.2316752312	1740835.058094	1741589.30607401	1740835.058094	1597687.2455046	1888796.48531672	430758.430342891	429896.906404832	430758.430342891	22.8653622096242	1292206.92826208	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5610	NA	NA	NA	NA	NA	NA	NA	NA	7921.29472028422	7673.63369965193	7019.7913307899	-7949.33376061721	26394.0771254068	132.021578671404	127.893894994199	116.996522179832	-132.488896010287	439.901285423447	NA	T0.19	t72_18O	t168_18O	-79227.4113145518	-80189.3339603892	-81283.6202094402	-212348.510845284	86853.0627847701	-1320.45685524253	-1336.48889933982	-1354.72700349067	-3539.1418474214	1447.55104641283	905516.238910256	907205.560763013	905516.238910256	752361.366003746	1161544.06888539	588606.593652049	586448.224921456	588606.593652049	64657.9985621939	1252928.49004934	none	-87148.706034836	-87862.9676600412	-90248.4341891133	-224432.696120079	76003.492314125	-1452.47843391393	-1464.38279433402	-1504.14056981856	-3740.54493533465	1266.72487190208	NA	NA	NA	NA	NA
sip5614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-326613.937988	-326037.765643003	-326613.937988	-376169.532856742	-238843.03387944	-5443.56563313334	-5433.96276071671	-5443.56563313334	-6269.49221427903	-3980.717231324	1306492.83039222	1304188.05977797	1306492.83039222	955402.711620629	1504722.73200749	37.0784402172246	36.9972059627911	37.0784402172246	22.8653622096242	45.4974043889124	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-35814.9895843596	-36899.2591455526	-35814.9895843596	-199849.444421104	55196.7096032504	-596.91649307266	-614.987652425876	-596.916493072659	-3330.82407368507	919.945160054173	376387.057136469	380707.290699073	376387.057136469	35.8729534933877	1033700.78687327	233127.098799031	233110.254116863	233127.098799031	217061.34018107	261730.884865492	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
