taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip3	1	rB	t3	18O	rB_t3_18O	t3_18O	679780000	4649635.09072	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t3	18O	rC_t3_18O	t3_18O	567500000	2655335.142	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t48	18O	rA_t48_18O	t48_18O	1164900000	5399434.8506	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t48	18O	rB_t48_18O	t48_18O	1263300000	9630075.719	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t48	18O	rC_t48_18O	t48_18O	1270900000	3741614.6141	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t72	18O	rA_t72_18O	t72_18O	738400000	4292109.1808	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t72	18O	rB_t72_18O	t72_18O	1466300000	6613332.0373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t72	18O	rC_t72_18O	t72_18O	1045500000	4253025.638	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip5	1	rA	t0	16O	rA_t0_16O	t0_16O	1022024000	1451698.686	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t0	16O	rB_t0_16O	t0_16O	7.41e+08	513026	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t0	16O	rC_t0_16O	t0_16O	1061780000	1065672.3624	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t168	16O	rA_t168_16O	t168_16O	889672000	1341824.9	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t168	16O	rB_t168_16O	t168_16O	815530000	170747.84	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t168	16O	rC_t168_16O	t168_16O	1057330000	572942.736	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t24	16O	rA_t24_16O	t24_16O	823660000	1211888.422	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t24	16O	rB_t24_16O	t24_16O	703110000	1180421.364	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t24	16O	rC_t24_16O	t24_16O	1813460000	1118913.95424	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t3	16O	rA_t3_16O	t3_16O	1450280000	2259852.012	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t3	16O	rB_t3_16O	t3_16O	924740000	1483549.305	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t3	16O	rC_t3_16O	t3_16O	708970000	842262.885	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t48	16O	rA_t48_16O	t48_16O	1047520000	690395.562	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t48	16O	rB_t48_16O	t48_16O	946920000	1339305.8034	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t48	16O	rC_t48_16O	t48_16O	665988000	0	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t72	16O	rA_t72_16O	t72_16O	761340000	934676.706	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t72	16O	rB_t72_16O	t72_16O	864880000	631957.505	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t72	16O	rC_t72_16O	t72_16O	901640000	443030.246	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t168	18O	rA_t168_18O	t168_18O	1.161e+09	1051946.88	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t168	18O	rB_t168_18O	t168_18O	1099500000	241637.371	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t168	18O	rC_t168_18O	t168_18O	1.102e+09	0	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t24	18O	rA_t24_18O	t24_18O	542100000	389340.1948	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t24	18O	rB_t24_18O	t24_18O	1093120000	397012.959	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t24	18O	rC_t24_18O	t24_18O	1168400000	399222.682	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t3	18O	rA_t3_18O	t3_18O	862900000	938134.684	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t3	18O	rB_t3_18O	t3_18O	679780000	332734.803	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
