Metabolism,Shared,Shared2,KO,Name
,cyt c ox,euk/bac/arch,k02259,"COX15, ctaA; cytochrome c oxidase assembly protein subunit 15"
,cyt c ox,euk,k02260,COX17; cytochrome c oxidase assembly protein subunit 17
,cyt c ox,bact/arch,k02300,cyoD; cytochrome o ubiquinol oxidase subunit IV
,cyt c ox,bact/arch,k02299,cyoC; cytochrome o ubiquinol oxidase subunit III
,cyt c ox,bact/arch,k02298,cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
,cyt c ox,bact/arch,k02297,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
,cyt c ox,bact/arch,k02277,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]"
,cyt c ox,bact/arch,k02276,"coxC, ctaE; cytochrome c oxidase subunit III [EC:7.1.1.9]"
,cyt c ox,bact/arch,k15408,coxAC; cytochrome c oxidase subunit I+III [EC:7.1.1.9]
,cyt c ox,bact/arch,k02274,"coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]"
,cyt c ox,bact/arch,k02275,"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
,cyt c ox,bact/arch,k02829,qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]
,cyt c ox,bact/arch,k02828,qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]
,cyt c ox,bact/arch,k02827,qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]
,cyt c ox,bact/arch,k02826,qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]
,cyt c ox,bact/arch,k24007,
,cyt c ox,bact/arch,k24008,
,cyt c ox,bact/arch,k24009,
,cyt c ox,bact/arch,k24010,
,cyt c ox,bact/arch,k24011,
,cyt c ox,cbb3,k00404,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
,cyt c ox,cbb3,k15862,ccoNO; cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9]
,cyt c ox,cbb3,k00405,ccoO; cytochrome c oxidase cbb3-type subunit II
,cyt c ox,cbb3,k00406,ccoP; cytochrome c oxidase cbb3-type subunit III
,cyt c ox,cbb3,k00407,ccoQ; cytochrome c oxidase cbb3-type subunit IV
,cyt bd complex,,k00424,
,cyt bd complex,,k00425,cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
,cyt bd complex,,k00426,cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
,cyt bd complex,,k22501,appX; cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]
,cyt c,,k08738,CYC; cytochrome c
