Metabolism,Shared,Shared2,KO,Name
anaerobic metabolism,to butyrate,3,k00634,ptb; phosphate butyryltransferase [EC:2.3.1.19]
anaerobic metabolism,shared,acetate/propionate,k00925,ackA; acetate kinase [EC:2.7.2.1]
anaerobic metabolism,to butyrate,3,k00929,buk; butyrate kinase [EC:2.7.2.7]
anaerobic metabolism,to propionate,4,k00932,tdcD; propionate kinase [EC:2.7.2.15]
anaerobic metabolism,shared,acetate/propionate,k01026,pct; propionate CoA-transferase [EC:2.8.3.1]
anaerobic metabolism,to acetone,,k01027,OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5]
anaerobic metabolism,to acetone,,k01028,"E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]"
anaerobic metabolism,to acetone,,k01029,"E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]"
anaerobic metabolism,shared,butyrate/acetone,k01034,atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
anaerobic metabolism,shared,butyrate/acetone,k01035,atoA; acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
anaerobic metabolism,to acetate,1,k01067,"E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]"
anaerobic metabolism,to acetate,6,k01512,acyP; acylphosphatase [EC:3.6.1.7]
anaerobic metabolism,to alcohol,1,k01568,"PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]"
anaerobic metabolism,to acetone,,k01574,adc; acetoacetate decarboxylase [EC:4.1.1.4]
anaerobic metabolism,shared,butyrate/propionate,k01692,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
anaerobic metabolism,to butyrate,2,k01715,crt; enoyl-CoA hydratase [EC:4.2.1.17]
