"","genus","time_moisture","b.boot.median","d.boot.median"
"195","g_Ramlibacter","x100_t48",11249848.4739746,-151394.675533033
"196","g_Reyranella","x100_t48",368483.569229004,-290293.712368205
"197","g_Rhizobium","x100_t168",544506.985536135,-678979.830197451
"198","g_Rhizobium","x100_t3",1914309.33533885,-32506738.3761741
"199","g_Rhizobium","x100_t72",410518.088922517,-490618.723466096
"200","g_Rubrobacter","x100_t168",46187.1305894043,-368498.425474505
"201","g_Rubrobacter","x100_t24",416342.550349033,-185974.968290206
"202","g_Rubrobacter","x100_t3",4227379.19099207,-8859851.52602914
"203","g_Rubrobacter","x100_t48",564191.712470419,-1102551.98418146
"204","g_Rubrobacter","x100_t72",248779.346716518,-260954.942028749
"205","g_Segetibacter","x100_t48",375935.845363932,-102211.827870674
"206","g_Segetibacter","x100_t72",520890.842024376,-224584.45028342
"207","g_Shewanella","x100_t168",10296335.3042656,-9233589.09347239
"208","g_Shewanella","x100_t3",87359734.7155926,-396424443.086932
"209","g_Shewanella","x100_t48",18961594.4857787,-11694590.872659
"210","g_Skermanella","x100_t168",1101882.13335682,-2108474.52008061
"211","g_Skermanella","x100_t24",995132.102791956,-918414.87047437
"212","g_Skermanella","x100_t3",10016793.6724705,-50680837.5381129
"213","g_Skermanella","x100_t48",3596170.42973979,-2356662.44169232
"214","g_Skermanella","x100_t72",1077190.417624,-1554031.74969105
"215","g_Solirubrobacter","x100_t168",910540.9763396,-3672829.44847089
"216","g_Solirubrobacter","x100_t3",6577686.6484512,-151243721.676892
"217","g_Solirubrobacter","x100_t48",2230480.6336637,-6089290.26983652
"218","g_Solirubrobacter","x100_t72",455836.729978184,-4047842.27507402
"219","g_Solirubrobacter","x50_t3",5815598.30011478,-1684.31801138073
"220","g_Spartobacteria_genera_incertae_sedis","x100_t168",553030.494528517,-2625481.84052445
"221","g_Spartobacteria_genera_incertae_sedis","x100_t24",1175891.01581844,-330548.512091624
"222","g_Spartobacteria_genera_incertae_sedis","x100_t3",12478847.3312424,-128288464.826807
"223","g_Spartobacteria_genera_incertae_sedis","x100_t48",2344269.56586658,-6605414.03148896
"224","g_Spartobacteria_genera_incertae_sedis","x100_t72",264100.055033763,-3947701.73794738
"225","g_Spartobacteria_genera_incertae_sedis","x50_t168",558977.968609138,-126068.672828683
"226","g_Spartobacteria_genera_incertae_sedis","x50_t3",10254078.2811226,-4586655.1223811
"227","g_Sphingomonas","x100_t48",1400247.96717026,-358269.035836013
"228","g_Staphylococcus","x100_t168",724975.429181015,-457295.677237624
"229","g_Staphylococcus","x100_t3",4559261.57242672,-18640126.3671527
"230","g_Steroidobacter","x100_t168",238735.483336734,-142666.74280141
"231","g_Steroidobacter","x100_t24",742.03627820084,-537580.237004951
"232","g_Steroidobacter","x100_t3",3478787.77738439,-3215785.98536769
"233","g_Streptococcus","x100_t168",3840311.90849065,-1808230.54918646
"234","g_Streptococcus","x100_t24",1579213.25902907,-12137.3483390875
"235","g_Streptococcus","x100_t3",45881679.4298434,-122631710.130375
"236","g_Streptococcus","x100_t48",6932903.97852121,-2872371.23170475
"237","g_Streptococcus","x100_t72",5008380.62413302,-104976.999816633
"238","g_Streptomyces","x100_t168",1141190.04312785,-1732523.73596593
"239","g_Streptomyces","x100_t24",215152.550844849,-4126784.83651723
"240","g_Streptomyces","x100_t3",3407793.9309375,-123001444.031624
"241","g_Streptomyces","x100_t48",2854065.5536711,-7340013.1165148
"242","g_Streptomyces","x100_t72",1459401.40398773,-3904681.68643796
"243","g_Subdivision3_genera_incertae_sedis","x100_t168",153592.301231701,-161208.763574013
"244","g_Subdivision3_genera_incertae_sedis","x100_t24",105881.8751444,-5013463.9530073
"245","g_Subdivision3_genera_incertae_sedis","x100_t3",438193.544135627,-16407949.4251651
"246","g_Subdivision3_genera_incertae_sedis","x100_t48",442237.239511495,-1686769.92223659
"247","g_Subdivision3_genera_incertae_sedis","x100_t72",120506.274480819,-1651033.05335886
"248","g_Subdivision3_genera_incertae_sedis","x50_t168",120743.737508366,-58353.2724681973
"249","g_Subdivision3_genera_incertae_sedis","x50_t48",213129.111640589,-496967.351220952
"250","g_Thermicanus","x100_t168",62037.395167394,-23280.5138624423
"251","g_Thermicanus","x100_t3",1742593.141794,-4480015.85512764
"252","g_Thermicanus","x100_t48",257277.421997811,-197390.37525381
"253","g_Thermicanus","x100_t72",122690.670728837,-62748.1323136963
"254","g_Thermus","x100_t168",530115.907728679,-850753.436733818
"255","g_Thermus","x100_t24",845728.875411053,-2378229.1459008
"256","g_Thermus","x100_t3",7312736.53505192,-43444608.3716355
"257","g_Thermus","x100_t48",1216186.91784091,-1751256.29401917
"258","g_Thermus","x100_t72",719286.996811732,-904639.95249038
"259","g_WPS-1_genera_incertae_sedis","x100_t168",131417.356916738,-1457368.84961358
"260","g_WPS-1_genera_incertae_sedis","x100_t3",11391687.1349663,-45580174.4275978
"261","g_WPS-1_genera_incertae_sedis","x100_t48",686980.256060326,-2514574.3466484
